"27,29,28,30,26",49,,0.097,3
"33,34,32,31",50,34,0.079,4
"19,22,24,23,20",45,,0.111,4
"33,32,34,30",42,32,0.124,5
"26,29,28,30,33,27",43,33,0.053,5
"23,24,22,25,20",12,"23,24",0.198,6
"22,18,23,24,21,20",15,"21,23",0.155,6
"27,31,28,25,26",19,25,0.026,6
"25,27,29,32,28,30",44,,0.058,6
"34,33,35,32,31",20,,0.02,6
"22,24,23,25,20,18",1,"20,25",0.152,7
"32,34,33,35,36,31",10,"33,31",0.108,7
"28,30,27,29,25",16,27,0.101,7
"18,25,22,26,23,33",3,25,0.115,8
"26,28,29,27,30",17,"27,30",0.184,8
"26,34,23,25,22,27",20,27,0.096,8
"22,23,24,19,27,20",20,22,0.003,8
"23,22,30,29,25,21",9,,0.096,8
"28,29,27,26,24,30",14,"29,30",0.156,8
"33,34,35,32,31",1,32,0.051,8
"32,33,31,34",8,31,0.194,8
"24,22,23,33,18,20",16,"18,24",0.177,8
"32,34,33,31,30,29",20,"33,30",0.041,9
"34,33,32",9,"32,33",0.122,9
"29,27,32,28,31,30",19,"30,31",0.024,9
"34,32",14,34,0.072,9
"33,34,32",8,33,0.102,9
"23,26,20,25,22,28",10,"20,26",0.092,9
"32,33,34,30",2,"33,32",0.104,9
"25,23,26,22",13,"25,22",0.155,9
"28,27,29,33,26",16,27,0.178,9
"26,23,22,25,24,28",12,25,0.176,9
"33,34,32",20,33,0.091,9
"22,26,25,23",20,,0.106,9
"31,33,32,34",12,"32,34",0.054,10
"20,23,24,28,25,21",2,21,0.027,10
"21,23,24,25,28,22",2,22,0.083,10
"20,24,23,18",20,"23,18",0.154,10
"34,33,32,31",12,32,0.057,10
"32,33,31",9,,0.107,10
"24,23,26,25,22,27",20,"24,27",0.02,10
"27,29,26,28,30,23",13,29,0.148,10
"33,32,34",3,,0.151,10
"30,28,29,26,21,27",4,"30,29",0.166,10
"33,32,31,34",18,31,0.0,11
"22,24,25,23,19",18,,0.093,11
"30,26,28,27",10,,0.142,11
"33,32,34",8,"32,34",0.048,11
"23,26,24,22,25,21",20,21,0.029,12
"32,33,34",20,,0.191,12
"33,32,35,34",10,"35,33",0.132,12
"29,27,28,24,30,26",15,26,0.11,12
"26,25,28,30,29,32",8,"32,29",0.094,12
"30,27,25",1,,0.091,12
"33,34,32",20,33,0.1,12
25,11,25,0.01,12
"31,33,32,34",1,,0.005,12
33,10,33,0.153,12
"33,32,34,31",20,"34,32",0.196,12
"25,23,22,24,20,27",6,24,0.024,13
"32,33,34",5,32,0.017,13
"18,21,22,26,27,20",12,,0.139,13
"24,31,23,21,26,22",17,,0.005,13
"29,33,26,28,31,27",5,26,0.153,13
"28,29,27,31,30,25",10,"28,25",0.148,13
"21,22,27,17,20,18",19,"21,17",0.199,14
"30,28,32,26,31,25",13,26,0.063,14
"16,18,13,20,15,14",9,,0.142,14
"27,19,22,23,24,21",10,,0.042,14
"21,25,23,27,24,22",9,25,0.171,14
"28,30,26,29,27",12,30,0.154,14
"17,18,13,16,19,22",7,19,0.117,15
"26,25,27",11,,0.136,16
"21,23,22,19,24",14,,0.042,16
"25,24,26,27",11,26,0.006,16
"25,24,26,27",19,"26,25",0.092,16
"22,20,21,23",19,,0.078,16
"19,15,17,14,20,21",6,"21,20",0.161,17
"24,21,19,22,23",11,23,0.044,17
"21,22,20,24,19",7,,0.089,18
"26,25,24",5,24,0.125,24
"23,21,22,20,25",14,22,0.143,25
"17,18,19,15,14,13",12,19,0.139,25
"14,17,15,18,16,13",16,"18,16",0.172,25
"19,23,22,21,20,24",11,23,0.149,26
"17,18,15,16,23,14",15,"18,15",0.107,26
"22,23,21,18,20",7,"23,18",0.034,26
"26,25,24,27",5,25,0.095,26
"26,25,27",10,,0.137,27
"25,27",17,,0.128,27
"26,24,25",20,26,0.081,27
"26,25,27",3,,0.089,27
"22,23,20,21,18",16,"22,23",0.134,27
"17,15,16,20,18,19",1,,0.068,28
"25,20,23,22,21,19",18,23,0.17,28
"20,25,22,17,21,23",5,"17,20",0.082,28
"22,20,21,24,19,23",20,"19,21",0.089,28
"21,22,24,23,20,26",15,26,0.1,28
"17,21,16,15,18,14",13,"18,21",0.127,28
"17,18,16,19,14,15",20,19,0.12,28
"18,16,17",5,"18,17",0.175,28
"25,23,22,21,26,20",5,25,0.075,28
14,7,14,0.113,28
