"0,10,11,12,14",24,"10,11,12,14",0.281,3
"0,2,5,6",4,nan,0.68,4
"4,5,6,7,8,9,10",9,10,0.31,4
"4,5,6,7,8,9,10",6,10,0.439,4
"0,11,12",20,"11,12",0.301,5
"0,11,12",3,"11,12",0.683,5
"0,5,6,10",25,10,0.642,5
"0,2,5,6",22,nan,0.532,5
"2,5,6,10",24,10,0.58,6
"2,5,6,10",18,10,0.061,6
"0,10,11,12,14",25,"10,11,12,14",0.463,6
"0,1,2,4,5,6",6,nan,0.771,6
"0,2,5,6",20,nan,0.326,6
"2,5,6,10",16,10,0.412,6
"1,4,5,6,13,14",14,"4,13,14",0.663,7
"0,4",5,nan,0.329,7
"0,1,2,5,6",22,nan,0.752,7
"0,5,6,8",24,8,0.557,7
"2,5,6,10",20,10,0.053,7
"0,2,11,12",17,nan,0.231,7
"0,4",9,nan,0.038,7
"0,2,5,6",13,nan,0.67,7
"0,5,6,10",22,10,0.345,8
"1,2,4,10",12,10,0.735,8
"0,1,2,4,5,6",6,nan,0.117,8
"4,5,6,10",22,"4,6,10",0.488,9
"0,5,6,10",6,10,0.747,9
"0,11,12",1,"11,12",0.299,9
"0,10,11,12,14",18,"10,11,12,14",0.078,9
"1,4,5",25,nan,0.229,9
"0,5,6,8",9,8,0.012,9
"0,5,6,10",5,10,0.489,10
"1,5,6,10",10,10,0.368,10
"0,5,6,10",7,10,0.733,10
"0,5,6,8",9,8,0.186,10
"0,1,2,4,5,6",12,nan,0.772,10
"0,11,12",19,"11,12",0.134,10
"0,2,11,12",17,nan,0.296,10
"0,4",12,nan,0.104,10
"0,1,2,4,5,6",19,nan,0.698,11
"0,5,6,10",15,10,0.038,11
"2,5,6,10",4,10,0.788,11
"1,2,4,10",7,10,0.595,11
"0,10,11,12,14",4,"10,11,12,14",0.231,11
"0,4",21,nan,0.512,11
"4,5,6,10",5,"4,6,10",0.384,11
"1,4,5",16,nan,0.647,12
"4,5,6,10",24,"4,6,10",0.64,12
"2,5,6,10",24,10,0.511,12
"0,2,11,12",9,nan,0.079,12
"0,10,11,12,14",22,"10,11,12,14",0.019,12
"0,11,12",6,"11,12",0.553,12
"0,5,6,8",10,8,0.476,13
"0,1,2,5,6",19,nan,0.287,13
"0,2,5,6",16,nan,0.206,13
"2,5,6,10",16,10,0.061,13
"0,2,5,6,10",19,10,0.469,14
"0,2,5,6",10,nan,0.02,14
"1,2,4,10",9,10,0.249,14
"2,5,6,10",7,10,0.408,17
"0,5,6,10",15,10,0.707,24
"1,4,5,6,13,14",3,"4,13,14",0.23,24
"0,5,6,10",2,10,0.68,24
"1,5,6,10",2,10,0.509,24
"0,2,5,6",5,nan,0.471,26
"0,2,5,6,10",20,10,0.331,26
"0,4",21,nan,0.601,27
"1,4,5",9,nan,0.794,27
"0,5,6,10",3,10,0.553,27
"0,5,6,10",5,10,0.053,27
"4,5,6,10",11,"4,6,10",0.358,27
"0,5,6,8",12,8,0.563,27
"0,10,11,12,14",7,"10,11,12,14",0.715,27
"1,4,5",23,nan,0.125,28
"4,5,6,10",23,"4,6,10",0.204,28
"0,10,11,12,14",11,"10,11,12,14",0.691,28
"0,2,11,12",11,nan,0.139,28
"0,4",3,nan,0.388,28
"0,11,12",8,"11,12",0.034,28
"0,1,2,5,6",20,nan,0.121,28
"1,4,5,6,13,14",4,"4,13,14",0.02,28
"2,5,6,10",21,10,0.046,28
"0,5,6,10",16,10,0.0,28
"0,2,11,12",9,nan,0.026,28
"2,5,6,10",25,10,0.63,29
"0,2,5,6,10",22,10,0.787,29
"0,5,6,8",10,8,0.196,29
"0,4",24,nan,0.272,29
"0,11,12",21,"11,12",0.198,29
"4,5,6,7,8,9,10",1,10,0.156,29
"0,2,5,6",19,nan,0.424,30
"2,5,6,10",3,10,0.039,30
"0,5,6,10",22,10,0.079,30
"4,5,6,10",6,"4,6,10",0.15,30
"4,5,6,7,8,9,10",6,10,0.452,30
"1,5,6,10",1,10,0.329,30
"0,10,11,12,14",6,"10,11,12,14",0.765,31
"1,5,6,10",22,10,0.784,31
"0,1,2,4,5,6",17,nan,0.301,31
"0,1,2,4,5,6",11,nan,0.678,31
"0,5,6,10",20,10,0.436,32
"1,4,5",9,nan,0.187,32
"1,4,5",22,nan,0.453,33
"0,4",9,nan,0.063,33
"0,5,6,10",25,10,0.143,33
"0,10,11,12,14",20,"10,11,12,14",0.548,33
"0,1,2,5,6",14,nan,0.359,33
"4,5,6,10",8,"4,6,10",0.51,33
"0,4",18,nan,0.688,33
"2,5,6,10",15,10,0.614,33
"0,1,2,5,6",3,nan,0.763,34
"0,2,5,6",12,nan,0.264,34
"1,4,5",22,nan,0.684,34
"0,2,5,6,10",17,10,0.679,34
"0,10,11,12,14",6,"10,11,12,14",0.403,35
"0,5,6,8",12,8,0.664,35
"1,4,5,6,13,14",17,"4,13,14",0.21,35
"0,11,12",10,"11,12",0.052,36
"1,2,4,10",1,10,0.012,36
"1,4,5,6,13,14",6,"4,13,14",0.502,38
"1,4,5",2,nan,0.419,43
"4,5,6,7,8,9,10",8,10,0.356,44
"0,2,5,6,10",23,10,0.444,44
"4,5,6,10",9,"4,6,10",0.447,44
"0,5,6,10",10,10,0.191,45
"0,5,6,10",5,10,0.484,45
"1,4,5,6,13,14",16,"4,13,14",0.574,45
"4,5,6,7,8,9,10",9,10,0.754,46
"0,2,5,6",12,nan,0.157,46
"4,5,6,7,8,9,10",18,10,0.374,46
"4,5,6,10",14,"4,6,10",0.432,46
"2,5,6,10",10,10,0.792,47
"0,4",8,nan,0.763,47
"0,10,11,12,14",20,"10,11,12,14",0.469,48
"4,5,6,10",2,"4,6,10",0.06,48
"1,4,5",4,nan,0.334,48
"1,4,5",3,nan,0.356,48
"0,11,12",20,"11,12",0.618,48
"0,1,2,5,6",13,nan,0.304,48
"0,1,2,5,6",20,nan,0.56,48
"0,1,2,4,5,6",19,nan,0.483,48
"0,1,2,4,5,6",20,nan,0.798,49
"0,5,6,8",18,8,0.737,49
"0,10,11,12,14",20,"10,11,12,14",0.518,49
"1,5,6,10",10,10,0.21,49
"0,5,6,8",10,8,0.566,49
"0,5,6,10",14,10,0.771,49
"0,5,6,10",24,10,0.793,49
"1,4,5",9,nan,0.198,49
"1,2,4,10",24,10,0.544,50
"0,1,2,5,6",16,nan,0.479,50
"0,10,11,12,14",12,"10,11,12,14",0.0,50
"0,5,6,10",4,10,0.2,50
"1,4,5",2,nan,0.77,50
"0,2,5,6,10",4,10,0.425,50
"0,1,2,4,5,6",4,nan,0.211,51
"0,4",17,nan,0.305,51
"1,4,5,6,13,14",13,"4,13,14",0.46,51
"4,5,6,7,8,9,10",11,10,0.291,51
"4,5,6,7,8,9,10",4,10,0.076,51
"2,5,6,10",18,10,0.165,51
"1,5,6,10",10,10,0.547,51
"0,5,6,8",11,8,0.751,51
"0,2,5,6",10,nan,0.38,52
"0,5,6,10",10,10,0.615,52
"0,5,6,8",8,8,0.743,52
"1,4,5,6,13,14",10,"4,13,14",0.003,52
"2,5,6,10",24,10,0.759,52
"0,5,6,10",19,10,0.729,53
"4,5,6,10",16,"4,6,10",0.71,53
"0,5,6,10",20,10,0.423,54
"0,1,2,5,6",23,nan,0.462,55
"4,5,6,7,8,9,10",2,10,0.281,55
"4,5,6,7,8,9,10",17,10,0.634,55
"4,5,6,7,8,9,10",23,10,0.756,56
"1,2,4,10",24,10,0.511,56
"2,5,6,10",13,10,0.606,56
"0,2,5,6,10",20,10,0.745,57
"0,2,5,6,10",22,10,0.219,58
"0,4",5,nan,0.636,58
"0,5,6,10",24,10,0.45,62
"0,11,12",23,"11,12",0.286,64
"0,10,11,12,14",9,"10,11,12,14",0.427,64
"0,1,2,5,6",19,nan,0.649,65
"4,5,6,7,8,9,10",1,10,0.717,65
"0,2,5,6",14,nan,0.737,65
"1,4,5,6,13,14",12,"4,13,14",0.249,66
"0,5,6,8",1,8,0.082,66
"1,4,5",10,nan,0.39,66
"4,5,6,10",9,"4,6,10",0.219,66
"0,5,6,8",17,8,0.658,66
"0,10,11,12,14",23,"10,11,12,14",0.685,66
"0,10,11,12,14",21,"10,11,12,14",0.774,66
"1,4,5",18,nan,0.748,66
"0,11,12",3,"11,12",0.711,67
"0,4",21,nan,0.684,67
"0,2,5,6,10",22,10,0.645,68
"0,2,5,6,10",3,10,0.262,68
"0,2,11,12",17,nan,0.288,68
"1,5,6,10",4,10,0.524,68
"4,5,6,7,8,9,10",24,10,0.169,68
"0,2,11,12",21,nan,0.764,68
"1,4,5",9,nan,0.476,68
"1,4,5,6,13,14",18,"4,13,14",0.294,68
"0,5,6,8",10,8,0.236,68
"0,2,11,12",15,nan,0.562,69
"0,2,5,6,10",21,10,0.073,69
"1,4,5",19,nan,0.19,69
"0,10,11,12,14",25,"10,11,12,14",0.471,69
"2,5,6,10",4,10,0.79,69
"0,2,5,6",7,nan,0.688,70
"0,2,11,12",19,nan,0.384,70
"0,4",18,nan,0.203,70
"0,5,6,10",19,10,0.162,70
"0,5,6,8",6,8,0.131,70
"1,5,6,10",21,10,0.215,70
"1,4,5",21,nan,0.228,70
"4,5,6,7,8,9,10",14,10,0.518,70
"0,10,11,12,14",24,"10,11,12,14",0.631,70
"1,4,5",4,nan,0.797,71
"0,5,6,8",6,8,0.34,71
"0,2,5,6",15,nan,0.2,71
"4,5,6,7,8,9,10",1,10,0.322,71
"1,4,5",4,nan,0.22,71
"0,2,5,6",1,nan,0.37,71
"1,2,4,10",9,10,0.737,72
"0,2,5,6,10",17,10,0.571,72
"0,4",21,nan,0.043,72
"0,1,2,5,6",8,nan,0.412,72
"4,5,6,7,8,9,10",21,10,0.08,73
"4,5,6,7,8,9,10",21,10,0.138,73
"0,2,11,12",11,nan,0.327,74
"0,1,2,5,6",4,nan,0.324,74
"1,2,4,10",5,10,0.222,74
"0,1,2,5,6",19,nan,0.435,74
"4,5,6,10",13,"4,6,10",0.188,74
"2,5,6,10",9,10,0.257,75
"1,4,5",18,nan,0.689,75
"0,10,11,12,14",17,"10,11,12,14",0.387,76
"1,5,6,10",18,10,0.665,77
"2,5,6,10",8,10,0.478,83
"0,5,6,8",7,8,0.063,83
"0,5,6,8",24,8,0.127,84
"0,1,2,4,5,6",19,nan,0.063,84
"0,11,12",7,"11,12",0.167,84
"0,2,11,12",18,nan,0.514,86
"1,2,4,10",2,10,0.234,87
"4,5,6,10",8,"4,6,10",0.195,87
"0,10,11,12,14",11,"10,11,12,14",0.387,87
"0,1,2,4,5,6",7,nan,0.161,87
"0,2,5,6",18,nan,0.159,87
"0,2,5,6",3,nan,0.788,87
"0,1,2,4,5,6",23,nan,0.668,87
"4,5,6,10",17,"4,6,10",0.15,87
"0,2,5,6,10",19,10,0.352,87
"0,5,6,10",2,10,0.735,88
"2,5,6,10",12,10,0.559,88
"0,2,11,12",22,nan,0.303,88
"0,2,5,6",15,nan,0.417,88
"4,5,6,10",12,"4,6,10",0.417,88
"2,5,6,10",25,10,0.177,89
"0,11,12",24,"11,12",0.071,89
"0,4",3,nan,0.44,89
"4,5,6,7,8,9,10",12,10,0.398,89
"0,5,6,10",17,10,0.537,89
"2,5,6,10",5,10,0.008,89
"0,4",19,nan,0.377,90
"1,4,5",19,nan,0.622,90
"4,5,6,10",18,"4,6,10",0.411,90
"0,5,6,8",12,8,0.509,90
"0,2,5,6,10",1,10,0.676,91
"0,10,11,12,14",20,"10,11,12,14",0.605,91
"4,5,6,7,8,9,10",24,10,0.256,91
"1,4,5",16,nan,0.425,91
"0,5,6,10",5,10,0.702,91
"1,4,5,6,13,14",10,"4,13,14",0.056,91
"0,11,12",21,"11,12",0.026,91
"0,5,6,10",14,10,0.741,91
"0,11,12",16,"11,12",0.064,91
"4,5,6,7,8,9,10",1,10,0.176,92
"0,5,6,10",18,10,0.461,92
"0,1,2,5,6",10,nan,0.472,92
"0,4",11,nan,0.047,92
"0,11,12",8,"11,12",0.119,92
"0,5,6,10",17,10,0.439,92
"0,4",4,nan,0.011,92
"0,11,12",21,"11,12",0.532,92
"4,5,6,10",4,"4,6,10",0.625,93
"2,5,6,10",18,10,0.523,93
"0,1,2,5,6",6,nan,0.238,93
"0,5,6,8",4,8,0.566,93
"0,2,5,6,10",14,10,0.526,93
"0,1,2,5,6",14,nan,0.58,93
"1,4,5,6,13,14",19,"4,13,14",0.685,93
"4,5,6,10",23,"4,6,10",0.54,93
"0,2,5,6",12,nan,0.286,94
"0,2,5,6",16,nan,0.739,96
"1,2,4,10",22,10,0.533,98
"0,10,11,12,14",7,"10,11,12,14",0.299,98
"0,5,6,10",14,10,0.484,99
"0,11,12",12,"11,12",0.11,103
"0,11,12",7,"11,12",0.487,105
"2,5,6,10",6,10,0.75,106
"0,2,11,12",14,nan,0.785,106
"0,1,2,4,5,6",16,nan,0.76,106
"0,1,2,5,6",1,nan,0.166,106
"0,5,6,10",11,10,0.761,107
"1,4,5",5,nan,0.156,107
"0,5,6,8",7,8,0.599,107
"1,4,5",9,nan,0.004,107
"1,4,5",12,nan,0.324,108
"0,2,5,6,10",25,10,0.212,108
"1,2,4,10",14,10,0.484,108
"0,11,12",22,"11,12",0.058,108
"1,2,4,10",22,10,0.298,108
"0,4",22,nan,0.529,109
"0,2,5,6",14,nan,0.028,109
"4,5,6,7,8,9,10",4,10,0.253,109
"0,10,11,12,14",3,"10,11,12,14",0.611,109
"1,4,5,6,13,14",1,"4,13,14",0.295,109
"0,1,2,4,5,6",16,nan,0.313,109
"0,2,11,12",14,nan,0.693,109
"0,5,6,8",21,8,0.317,109
"0,2,5,6",25,nan,0.137,109
"1,5,6,10",1,10,0.364,109
"0,2,5,6",16,nan,0.638,109
"0,10,11,12,14",16,"10,11,12,14",0.623,109
"1,4,5,6,13,14",17,"4,13,14",0.542,110
"0,2,5,6,10",11,10,0.333,110
"1,4,5",16,nan,0.634,110
"1,2,4,10",14,10,0.351,110
"1,4,5,6,13,14",19,"4,13,14",0.259,110
"4,5,6,7,8,9,10",7,10,0.177,111
"0,5,6,10",13,10,0.269,111
"1,4,5",14,nan,0.14,111
"0,2,5,6,10",7,10,0.522,111
"4,5,6,10",6,"4,6,10",0.703,111
"0,5,6,8",8,8,0.039,111
"0,2,5,6,10",13,10,0.567,112
"0,1,2,5,6",14,nan,0.004,112
"0,4",3,nan,0.024,112
"0,1,2,5,6",17,nan,0.603,113
"4,5,6,10",21,"4,6,10",0.148,113
"1,4,5,6,13,14",6,"4,13,14",0.244,113
"2,5,6,10",13,10,0.793,113
"1,2,4,10",11,10,0.1,113
"4,5,6,10",6,"4,6,10",0.706,114
"0,5,6,10",18,10,0.068,114
"4,5,6,10",24,"4,6,10",0.118,114
"0,2,11,12",3,nan,0.608,114
"1,5,6,10",15,10,0.186,114
"1,2,4,10",5,10,0.704,114
"0,2,5,6,10",7,10,0.222,115
"2,5,6,10",14,10,0.361,115
"2,5,6,10",15,10,0.007,115
"4,5,6,7,8,9,10",1,10,0.029,115
"1,5,6,10",5,10,0.237,115
"0,5,6,8",25,8,0.608,115
"0,11,12",15,"11,12",0.141,117
"0,2,5,6,10",5,10,0.146,118
"0,1,2,5,6",24,nan,0.712,124
"1,4,5,6,13,14",14,"4,13,14",0.175,125
"1,2,4,10",20,10,0.252,125
"0,4",13,nan,0.24,125
"1,2,4,10",24,10,0.195,126
"1,2,4,10",24,10,0.158,126
"0,5,6,10",8,10,0.774,126
"0,1,2,5,6",15,nan,0.643,126
"0,4",15,nan,0.082,126
"0,5,6,8",17,8,0.365,126
"0,1,2,5,6",13,nan,0.121,127
"1,2,4,10",1,10,0.602,127
"0,5,6,8",5,8,0.789,127
"2,5,6,10",21,10,0.588,127
"0,1,2,5,6",9,nan,0.039,127
"4,5,6,7,8,9,10",6,10,0.517,127
"0,5,6,10",18,10,0.789,127
"1,4,5,6,13,14",21,"4,13,14",0.6,127
"0,10,11,12,14",15,"10,11,12,14",0.614,128
"0,1,2,5,6",4,nan,0.662,128
"0,11,12",22,"11,12",0.595,128
