"0,1",12,nan,0.145,4
"0,1,4",20,4,0.604,6
"0,1",18,nan,0.061,6
"0,1,4",23,4,0.514,6
"0,1,4",8,4,0.696,6
"0,5",22,nan,0.795,6
"0,1",22,nan,0.498,6
"0,1,3,4",13,"0,1",0.561,7
"0,1,4",16,4,0.432,7
"0,1,4",19,4,0.463,7
"0,1,3,4",20,"0,1",0.106,7
"0,1,3,4",9,"0,1",0.298,7
"0,4",23,nan,0.101,7
"0,2",5,2,0.626,7
"0,4,5",9,4,0.573,7
"0,4,5",1,4,0.0,8
"0,1,3,4",15,"0,1",0.226,8
"0,1",25,nan,0.159,8
"0,5",3,nan,0.26,8
"0,1,8",25,8,0.158,8
"0,1,8",3,8,0.316,8
"0,1,4",13,4,0.108,8
"0,1,4",2,4,0.04,9
"0,1,8",20,8,0.212,9
"0,2",16,2,0.355,9
"0,1",17,nan,0.693,9
"0,4,5",12,4,0.506,10
"0,1,4",22,4,0.287,10
"0,4,5",1,4,0.616,10
"0,1,8",13,8,0.535,10
"0,1,4",20,4,0.606,10
"0,2",18,2,0.047,10
"0,1,8",22,8,0.733,10
"0,1,4,7",6,4,0.645,10
"0,4",1,nan,0.06,10
"0,5",8,nan,0.727,11
"0,4",2,nan,0.1,11
"0,4,5",4,4,0.232,11
"0,5",24,nan,0.186,11
"0,2",5,2,0.181,11
"0,4",10,nan,0.564,11
"0,1,4",8,4,0.107,11
"0,4",4,nan,0.689,11
"0,1,4,7",7,4,0.16,11
"0,1",23,nan,0.34,11
1,20,nan,0.622,12
"0,1",14,nan,0.05,12
"0,1,4",20,4,0.105,12
"0,1,4,7",21,4,0.54,12
"0,1",21,nan,0.546,12
"0,2",3,2,0.129,13
"0,1,8",21,8,0.444,13
"0,4",23,nan,0.594,13
"0,1,4",3,4,0.613,13
"0,1,8",25,8,0.671,13
"0,1,8",3,8,0.785,14
"0,1,8",19,8,0.374,15
"0,1,4",11,4,0.596,15
1,12,nan,0.482,15
"0,5",19,nan,0.423,16
"0,5",23,nan,0.373,26
"0,5",5,nan,0.641,26
"0,1,4",5,4,0.103,27
"0,1",5,nan,0.427,27
"0,1,3,4",12,"0,1",0.616,27
"0,5",19,nan,0.336,27
"0,1,8",16,8,0.191,27
"0,1,4",2,4,0.234,27
"0,5",6,nan,0.694,28
"0,4,5",24,4,0.199,28
"0,1",5,nan,0.585,28
"0,1,3,4",10,"0,1",0.377,28
"0,4,5",13,4,0.283,28
"0,4,5",25,4,0.346,28
"0,4",17,nan,0.509,28
"0,1",6,nan,0.417,28
"0,4,5",7,4,0.333,29
"0,1,4",13,4,0.496,29
"0,1",13,nan,0.667,29
