"0,1,2,5,6",23,nan,0.624,4
"4,5,6,10",3,"4,6,10",0.046,6
"0,11,12",3,"11,12",0.652,6
"0,2,5,6",14,nan,0.583,6
"0,2,11,12",20,nan,0.395,8
"1,5,6,10",6,10,0.213,8
"4,5,6,7,8,9,10",7,10,0.755,9
"0,2,5,6",10,nan,0.107,9
"0,1,2,5,6",14,nan,0.099,10
"0,5,6,8",8,8,0.385,11
"0,2,5,6",22,nan,0.244,11
"1,4,5,6,13,14",14,"4,13,14",0.525,11
"0,4",4,nan,0.181,11
"0,2,5,6",20,nan,0.684,11
"4,5,6,10",14,"4,6,10",0.414,12
"0,1,2,5,6",22,nan,0.543,12
"0,1,2,5,6",17,nan,0.384,14
"1,5,6,10",10,10,0.525,17
"0,2,5,6",19,nan,0.56,17
"1,5,6,10",24,10,0.102,18
"1,5,6,10",23,10,0.254,24
"4,5,6,7,8,9,10",8,10,0.249,24
"0,5,6,8",3,8,0.769,25
"1,4,5",20,nan,0.363,25
"1,4,5,6,13,14",22,"4,13,14",0.743,27
"0,1,2,5,6",1,nan,0.133,29
"0,2,5,6,10",20,10,0.165,29
"2,5,6,10",9,10,0.115,30
"1,5,6,10",21,10,0.576,30
"1,4,5",6,nan,0.779,30
"0,2,11,12",6,nan,0.694,31
"1,5,6,10",5,10,0.174,31
"0,4",9,nan,0.662,32
"0,2,11,12",4,nan,0.514,33
"1,4,5,6,13,14",23,"4,13,14",0.337,33
"0,10,11,12,14",17,"10,11,12,14",0.127,33
"1,2,4,10",25,10,0.339,34
"0,4",12,nan,0.292,37
"1,5,6,10",4,10,0.242,37
"0,5,6,10",23,10,0.751,37
"0,1,2,4,5,6",25,nan,0.779,45
"0,2,5,6",13,nan,0.05,46
"1,4,5",5,nan,0.68,46
"0,10,11,12,14",9,"10,11,12,14",0.512,46
"1,4,5",18,nan,0.03,47
"0,2,5,6,10",9,10,0.335,47
"4,5,6,7,8,9,10",11,10,0.715,48
"0,1,2,4,5,6",19,nan,0.261,48
"0,1,2,4,5,6",15,nan,0.719,49
"0,4",21,nan,0.221,49
"1,2,4,10",2,10,0.314,50
"0,1,2,4,5,6",12,nan,0.36,50
"0,2,5,6",10,nan,0.601,50
"4,5,6,7,8,9,10",24,10,0.722,51
"0,1,2,4,5,6",21,nan,0.024,51
"0,1,2,5,6",10,nan,0.05,52
"0,10,11,12,14",24,"10,11,12,14",0.355,52
"0,2,5,6",15,nan,0.37,53
"2,5,6,10",2,10,0.755,54
"0,2,11,12",13,nan,0.015,54
"0,10,11,12,14",16,"10,11,12,14",0.082,65
"4,5,6,10",19,"4,6,10",0.371,66
"0,1,2,4,5,6",7,nan,0.141,66
"0,10,11,12,14",17,"10,11,12,14",0.322,67
"0,5,6,10",19,10,0.604,67
"0,4",25,nan,0.626,68
"0,4",7,nan,0.097,68
"0,2,11,12",20,nan,0.238,69
"0,1,2,5,6",12,nan,0.499,70
"1,4,5,6,13,14",17,"4,13,14",0.064,70
"4,5,6,10",4,"4,6,10",0.096,70
"1,2,4,10",23,10,0.095,71
"0,10,11,12,14",7,"10,11,12,14",0.288,71
"0,11,12",10,"11,12",0.775,72
"2,5,6,10",21,10,0.008,73
"0,5,6,10",22,10,0.616,73
"0,2,5,6",22,nan,0.341,73
"2,5,6,10",12,10,0.581,74
"1,4,5",19,nan,0.468,75
"4,5,6,10",17,"4,6,10",0.385,76
"2,5,6,10",4,10,0.672,84
"0,10,11,12,14",15,"10,11,12,14",0.374,84
"0,11,12",1,"11,12",0.672,85
"0,10,11,12,14",7,"10,11,12,14",0.662,86
"4,5,6,7,8,9,10",25,10,0.8,87
"1,4,5",9,nan,0.376,87
"0,1,2,5,6",6,nan,0.502,87
"1,5,6,10",5,10,0.768,88
"1,5,6,10",11,10,0.051,88
"1,5,6,10",8,10,0.256,88
"0,2,11,12",3,nan,0.28,88
"0,1,2,5,6",6,nan,0.299,88
"0,1,2,4,5,6",25,nan,0.131,89
"1,5,6,10",12,10,0.772,89
"0,5,6,8",6,8,0.574,89
"2,5,6,10",25,10,0.187,89
"0,2,5,6",20,nan,0.784,91
"0,5,6,10",20,10,0.111,94
"0,2,11,12",1,nan,0.085,95
"0,1,2,5,6",5,nan,0.582,95
"0,4",5,nan,0.476,107
"0,2,11,12",24,nan,0.631,107
"1,4,5",6,nan,0.599,107
"0,4",15,nan,0.232,107
"0,4",21,nan,0.052,108
"0,1,2,4,5,6",21,nan,0.282,108
"0,5,6,10",2,10,0.242,109
"0,2,5,6,10",2,10,0.279,109
"0,2,5,6,10",6,10,0.742,109
"1,4,5",15,nan,0.501,110
"0,5,6,10",17,10,0.705,110
"1,4,5",11,nan,0.652,110
"1,4,5,6,13,14",11,"4,13,14",0.003,111
"0,2,11,12",16,nan,0.424,111
"0,11,12",12,"11,12",0.56,111
"0,2,5,6,10",18,10,0.184,111
"0,10,11,12,14",22,"10,11,12,14",0.492,112
"0,5,6,10",9,10,0.67,115
"2,5,6,10",24,10,0.628,115
"0,1,2,4,5,6",21,nan,0.56,115
"0,1,2,4,5,6",13,nan,0.394,125
"0,1,2,5,6",14,nan,0.547,125
"4,5,6,10",8,"4,6,10",0.008,126
"1,4,5",17,nan,0.398,128
"0,11,12",10,"11,12",0.243,128
"1,2,4,10",4,10,0.794,129
"0,11,12",13,"11,12",0.574,129
"0,2,5,6,10",12,10,0.448,129
"1,4,5",12,nan,0.768,129
"0,5,6,8",9,8,0.355,130
"0,2,5,6",18,nan,0.25,130
"0,4",19,nan,0.036,131
"1,4,5,6,13,14",5,"4,13,14",0.228,131
"4,5,6,7,8,9,10",1,10,0.214,131
"1,4,5",21,nan,0.493,131
"4,5,6,7,8,9,10",16,10,0.243,131
"2,5,6,10",15,10,0.701,131
"0,2,11,12",23,nan,0.467,132
"0,2,11,12",15,nan,0.272,136
"0,1,2,5,6",13,nan,0.248,137
"1,4,5",22,nan,0.672,145
"1,4,5,6,13,14",21,"4,13,14",0.306,146
"0,2,11,12",10,nan,0.75,147
"0,2,5,6,10",10,10,0.734,148
"1,4,5",25,nan,0.606,149
"1,5,6,10",23,10,0.244,149
"0,2,5,6,10",2,10,0.512,149
"1,5,6,10",18,10,0.054,149
"0,5,6,10",18,10,0.491,149
"0,5,6,10",14,10,0.015,149
"0,11,12",8,"11,12",0.77,149
"0,1,2,4,5,6",15,nan,0.744,150
"0,2,11,12",2,nan,0.098,150
"0,5,6,8",3,8,0.371,150
"0,2,11,12",19,nan,0.572,151
"0,5,6,8",12,8,0.553,151
"0,10,11,12,14",11,"10,11,12,14",0.517,151
"1,5,6,10",10,10,0.598,151
"0,5,6,8",18,8,0.701,151
"0,5,6,8",21,8,0.366,153
"0,2,11,12",4,nan,0.225,164
"0,5,6,10",12,10,0.416,167
"1,4,5",3,nan,0.686,167
"0,5,6,10",15,10,0.554,168
"0,2,5,6,10",11,10,0.072,168
"0,5,6,8",13,8,0.751,168
"0,1,2,5,6",15,nan,0.771,168
"1,5,6,10",4,10,0.354,169
"4,5,6,7,8,9,10",2,10,0.784,169
"0,2,11,12",2,nan,0.645,169
"2,5,6,10",20,10,0.738,170
"4,5,6,10",23,"4,6,10",0.638,170
"0,2,5,6",19,nan,0.547,170
"1,4,5,6,13,14",16,"4,13,14",0.587,171
"0,11,12",7,"11,12",0.132,172
"4,5,6,7,8,9,10",4,10,0.618,172
"0,5,6,8",1,8,0.315,172
"1,4,5",14,nan,0.321,173
"0,2,5,6",4,nan,0.394,176
"0,1,2,4,5,6",7,nan,0.118,177
"1,2,4,10",11,10,0.622,184
"0,2,11,12",12,nan,0.041,186
"4,5,6,7,8,9,10",10,10,0.505,187
"0,2,5,6",2,nan,0.071,187
"1,5,6,10",15,10,0.573,187
"0,10,11,12,14",8,"10,11,12,14",0.277,188
"1,5,6,10",14,10,0.177,188
"0,5,6,10",22,10,0.623,189
"4,5,6,10",18,"4,6,10",0.655,190
"4,5,6,10",21,"4,6,10",0.179,190
"0,11,12",2,"11,12",0.405,190
"0,5,6,10",6,10,0.061,190
"0,5,6,10",4,10,0.213,190
"1,5,6,10",25,10,0.247,192
"1,4,5",24,nan,0.702,192
"1,5,6,10",7,10,0.435,192
"0,2,5,6,10",20,10,0.785,192
"0,5,6,8",25,8,0.299,193
"1,2,4,10",9,10,0.431,194
"0,1,2,5,6",9,nan,0.542,195
